Epoch 1/30, Train Loss: 0.056019874600072704, Test Loss: 0.0030455435998737812
Epoch 2/30, Train Loss: 0.008700611520676858, Test Loss: 0.0022362107923254372
Epoch 3/30, Train Loss: 0.0053497912133082986, Test Loss: 0.0008137547527439892
Epoch 4/30, Train Loss: 0.00334490033324867, Test Loss: 0.0006982422608416527
Epoch 5/30, Train Loss: 0.002416575150120826, Test Loss: 0.000765921123092994
Epoch 6/30, Train Loss: 0.0017557443592638251, Test Loss: 0.0006260705855675042
Epoch 7/30, Train Loss: 0.0013441077908427114, Test Loss: 0.0005637438874691725
Epoch 8/30, Train Loss: 0.0010180453666382367, Test Loss: 0.0004971746681258082
Epoch 9/30, Train Loss: 0.0008113139405077885, Test Loss: 0.0004650770290754735
Epoch 10/30, Train Loss: 0.0006990205669324727, Test Loss: 0.000445161466486752
Epoch 11/30, Train Loss: 0.0005924312872738238, Test Loss: 0.0004608802031725645
Epoch 12/30, Train Loss: 0.0005321536436750893, Test Loss: 0.000432957848533988
Epoch 13/30, Train Loss: 0.0004939930365672187, Test Loss: 0.00044178578769788146
Epoch 14/30, Train Loss: 0.0004721550605378099, Test Loss: 0.00043285020918119697
Epoch 15/30, Train Loss: 0.00044463623392706114, Test Loss: 0.00043559815792832524
Epoch 16/30, Train Loss: 0.000432680213374884, Test Loss: 0.00044509153231047093
Epoch 17/30, Train Loss: 0.0004155702068052802, Test Loss: 0.0004341069102520123
Epoch 18/30, Train Loss: 0.0003823801560515893, Test Loss: 0.000445659234537743
Epoch 19/30, Train Loss: 0.0003892544029642724, Test Loss: 0.0004239219578448683
Epoch 20/30, Train Loss: 0.0003710347209273586, Test Loss: 0.00043622766039334236
Epoch 21/30, Train Loss: 0.0003644415315532584, Test Loss: 0.00043275751057080924
Epoch 22/30, Train Loss: 0.0003452736679704801, Test Loss: 0.00045804277877323327
Epoch 23/30, Train Loss: 0.00033554631019277234, Test Loss: 0.00045735088526271283
Epoch 24/30, Train Loss: 0.0003474817430186603, Test Loss: 0.0004420878691598773
Epoch 25/30, Train Loss: 0.0003214985920330657, Test Loss: 0.00045455303392373026
Epoch 26/30, Train Loss: 0.00031699576472405284, Test Loss: 0.00045655904687009753
Epoch 27/30, Train Loss: 0.0003129899918031509, Test Loss: 0.0004681965900817886
Epoch 28/30, Train Loss: 0.0002981497512784757, Test Loss: 0.0004555302660446614
Epoch 29/30, Train Loss: 0.00030813244377477243, Test Loss: 0.0004517425037920475
Epoch 30/30, Train Loss: 0.00027861394621487266, Test Loss: 0.000476294481777586
Model saved.
