Epoch 1/50, Train Loss: 0.12471989181543154, Test Loss: 0.004664825368672609
Epoch 2/50, Train Loss: 0.02146551332303456, Test Loss: 0.0027291103452444076
Epoch 3/50, Train Loss: 0.017609969328438477, Test Loss: 0.0013893995527178048
Epoch 4/50, Train Loss: 0.013710635100742654, Test Loss: 0.001644723869394511
Epoch 5/50, Train Loss: 0.010295421276832856, Test Loss: 0.0032956855092197658
Epoch 6/50, Train Loss: 0.0075488035707542344, Test Loss: 0.00045918920426629483
Epoch 7/50, Train Loss: 0.004836937508708428, Test Loss: 0.00036027227120939643
Epoch 8/50, Train Loss: 0.003775728947763878, Test Loss: 0.0007997098565101624
Epoch 9/50, Train Loss: 0.0025420597946596525, Test Loss: 2.0760348670592067e-05
Epoch 10/50, Train Loss: 0.001904288362268181, Test Loss: 8.083106687990949e-05
Epoch 11/50, Train Loss: 0.001389202210009985, Test Loss: 7.622085337061435e-05
Epoch 12/50, Train Loss: 0.0010509709116174942, Test Loss: 2.0057060464750975e-05
Epoch 13/50, Train Loss: 0.0007086012822886308, Test Loss: 7.2996882954612376e-06
Epoch 14/50, Train Loss: 0.0005422478753312062, Test Loss: 2.40144289273303e-05
Epoch 15/50, Train Loss: 0.00039562860726460164, Test Loss: 1.010682908599847e-05
Epoch 16/50, Train Loss: 0.000281643252477922, Test Loss: 2.528297271055635e-05
Epoch 17/50, Train Loss: 0.00020905103571879278, Test Loss: 1.0428795758343767e-05
Epoch 18/50, Train Loss: 0.00014608418051567342, Test Loss: 6.018300891810213e-06
Epoch 19/50, Train Loss: 0.00010291583667923178, Test Loss: 7.624628278790624e-06
Epoch 20/50, Train Loss: 7.817107822149179e-05, Test Loss: 5.7609181749285195e-06
Epoch 21/50, Train Loss: 5.602817119714538e-05, Test Loss: 3.432014086683921e-06
Epoch 22/50, Train Loss: 4.059870999688948e-05, Test Loss: 3.032787140000437e-06
Epoch 23/50, Train Loss: 2.8363129136518444e-05, Test Loss: 1.857172028394416e-06
Epoch 24/50, Train Loss: 1.8792535979989065e-05, Test Loss: 1.0045449675999408e-06
Epoch 25/50, Train Loss: 1.3030928686122126e-05, Test Loss: 1.1757346055674135e-06
Epoch 26/50, Train Loss: 8.548462776363724e-06, Test Loss: 6.331346912702429e-07
Epoch 27/50, Train Loss: 5.924648013162715e-06, Test Loss: 3.524246835695521e-07
Epoch 28/50, Train Loss: 3.879554628477467e-06, Test Loss: 3.5002710319531615e-07
Epoch 29/50, Train Loss: 2.6646508659824676e-06, Test Loss: 2.6559036541584647e-07
Epoch 30/50, Train Loss: 2.024330780971338e-06, Test Loss: 1.2704558983500646e-07
Epoch 31/50, Train Loss: 1.361151302287706e-06, Test Loss: 9.479688245050966e-08
Epoch 32/50, Train Loss: 8.714385128567099e-07, Test Loss: 6.545416169956298e-08
Epoch 33/50, Train Loss: 6.366681342270236e-07, Test Loss: 7.287139879963434e-08
Epoch 34/50, Train Loss: 4.35064544757234e-07, Test Loss: 3.365680917966074e-08
Epoch 35/50, Train Loss: 3.624835142451798e-07, Test Loss: 2.908807179125006e-08
Epoch 36/50, Train Loss: 2.523912572976928e-07, Test Loss: 1.8791277351937198e-08
Epoch 37/50, Train Loss: 1.7331179623711466e-07, Test Loss: 1.3902409197186217e-08
Epoch 38/50, Train Loss: 1.379260386185042e-07, Test Loss: 1.42334749142492e-08
Epoch 39/50, Train Loss: 1.0836072633194832e-07, Test Loss: 1.0773351233339668e-08
Epoch 40/50, Train Loss: 7.724889378609517e-08, Test Loss: 1.1284779137810119e-08
Epoch 41/50, Train Loss: 6.773737823208655e-08, Test Loss: 6.507219261209229e-09
Epoch 42/50, Train Loss: 5.977109626290453e-08, Test Loss: 4.6850583323987396e-09
Epoch 43/50, Train Loss: 3.8433876356623925e-08, Test Loss: 4.663821506767363e-09
Epoch 44/50, Train Loss: 4.0336883744979035e-08, Test Loss: 5.527041366804042e-09
Epoch 45/50, Train Loss: 3.1987732702490906e-08, Test Loss: 2.2486966688717304e-09
Epoch 46/50, Train Loss: 3.072973864083639e-08, Test Loss: 4.32538598715837e-09
Epoch 47/50, Train Loss: 2.620396297126423e-08, Test Loss: 2.296671688384322e-09
Epoch 48/50, Train Loss: 2.1471647535802293e-08, Test Loss: 2.260619575977785e-09
Epoch 49/50, Train Loss: 1.8299614811133502e-08, Test Loss: 2.3855296671371206e-09
Epoch 50/50, Train Loss: 1.613546499234711e-08, Test Loss: 1.1752981876611558e-09
Model saved.
