Epoch 1/50, Train Loss: 0.09170198369593847, Test Loss: 0.004978364333510399
Epoch 2/50, Train Loss: 0.026848220443796544, Test Loss: 0.0031632034992799163
Epoch 3/50, Train Loss: 0.020206523438294727, Test Loss: 0.0043403424322605135
Epoch 4/50, Train Loss: 0.013128449282948934, Test Loss: 0.0016409637918695808
Epoch 5/50, Train Loss: 0.00868014710777927, Test Loss: 0.00047035500931087883
Epoch 6/50, Train Loss: 0.005448905226316244, Test Loss: 0.00012939214269863441
Epoch 7/50, Train Loss: 0.0034369733203054656, Test Loss: 0.0001632064685691148
Epoch 8/50, Train Loss: 0.002289399393789825, Test Loss: 4.172381843090989e-05
Epoch 9/50, Train Loss: 0.0015128916157187806, Test Loss: 1.1056478087994038e-05
Epoch 10/50, Train Loss: 0.0009582192107613775, Test Loss: 1.0547739620960783e-05
Epoch 11/50, Train Loss: 0.0006306376164993419, Test Loss: 4.920065589431033e-06
Epoch 12/50, Train Loss: 0.0004082788920698924, Test Loss: 3.0060747449169866e-05
Epoch 13/50, Train Loss: 0.0002742934405447043, Test Loss: 6.643908754995209e-06
Epoch 14/50, Train Loss: 0.0001810036420855405, Test Loss: 5.764646675743279e-06
Epoch 15/50, Train Loss: 0.00012219086703326966, Test Loss: 3.975194367740187e-06
Epoch 16/50, Train Loss: 7.436860121540829e-05, Test Loss: 6.162322124509956e-06
Epoch 17/50, Train Loss: 4.668623322296688e-05, Test Loss: 2.3267639949153817e-06
Epoch 18/50, Train Loss: 3.135413843997484e-05, Test Loss: 3.656827602753765e-06
Epoch 19/50, Train Loss: 1.679288720518502e-05, Test Loss: 6.330571193302603e-07
Epoch 20/50, Train Loss: 1.0979785490654028e-05, Test Loss: 8.825670079204428e-07
Epoch 21/50, Train Loss: 6.505369320000191e-06, Test Loss: 4.870657255651167e-07
Epoch 22/50, Train Loss: 3.906237198169124e-06, Test Loss: 3.248164691171951e-07
Epoch 23/50, Train Loss: 2.3070932350434765e-06, Test Loss: 1.3958101391153832e-07
Epoch 24/50, Train Loss: 1.3820034303260774e-06, Test Loss: 1.091818970166969e-07
Epoch 25/50, Train Loss: 8.653611939193763e-07, Test Loss: 9.349797181812392e-08
Epoch 26/50, Train Loss: 5.218163093580924e-07, Test Loss: 5.221611843353458e-08
Epoch 27/50, Train Loss: 3.014523265789201e-07, Test Loss: 2.9578353846204663e-08
Epoch 28/50, Train Loss: 2.2451798309749928e-07, Test Loss: 3.542341453055542e-08
Epoch 29/50, Train Loss: 1.5368924492136896e-07, Test Loss: 1.0499146565479123e-08
Epoch 30/50, Train Loss: 1.1341160233863024e-07, Test Loss: 7.65720366224798e-09
Epoch 31/50, Train Loss: 8.259227466319027e-08, Test Loss: 5.746942584039516e-09
Epoch 32/50, Train Loss: 7.754464929083797e-08, Test Loss: 8.858662479127588e-09
Epoch 33/50, Train Loss: 5.282742183733975e-08, Test Loss: 9.150228628129753e-09
Epoch 34/50, Train Loss: 7.121534958215877e-08, Test Loss: 2.5284589177942963e-09
Epoch 35/50, Train Loss: 3.498887932118852e-08, Test Loss: 3.570118316531534e-09
Epoch 36/50, Train Loss: 3.53533399662737e-08, Test Loss: 2.3178731289874578e-09
Epoch 37/50, Train Loss: 5.270795336694992e-08, Test Loss: 5.964537876934628e-09
Epoch 38/50, Train Loss: 2.932797313293453e-08, Test Loss: 2.6489101667692693e-09
Epoch 39/50, Train Loss: 5.159727744005881e-08, Test Loss: 2.1177951570194865e-09
Epoch 40/50, Train Loss: 2.6151619175299926e-08, Test Loss: 1.2764509094154164e-09
Epoch 41/50, Train Loss: 2.200113477468865e-08, Test Loss: 1.8350062713778924e-09
Epoch 42/50, Train Loss: 2.0296346783138254e-08, Test Loss: 1.012927777210848e-09
Epoch 43/50, Train Loss: 2.0792418814915366e-08, Test Loss: 2.252823509962809e-09
Epoch 44/50, Train Loss: 2.5905158170256223e-08, Test Loss: 6.121193241170886e-10
Epoch 45/50, Train Loss: 1.9606728907106685e-08, Test Loss: 9.24591150308629e-10
Epoch 46/50, Train Loss: 2.1543504520009956e-08, Test Loss: 6.202180102832245e-10
Epoch 47/50, Train Loss: 1.599366859232863e-08, Test Loss: 5.343532016865993e-10
Epoch 48/50, Train Loss: 1.0387012567519044e-08, Test Loss: 7.660877088255802e-10
Epoch 49/50, Train Loss: 9.481103359200283e-09, Test Loss: 5.563780813844233e-10
Epoch 50/50, Train Loss: 1.528674922625042e-08, Test Loss: 1.520099184304513e-09
Model saved.
