Epoch 1/50, Train Loss: 0.13566672056913376, Test Loss: 0.004758239351212978
Epoch 2/50, Train Loss: 0.027084118701399318, Test Loss: 0.016328589990735054
Epoch 3/50, Train Loss: 0.020935957822653038, Test Loss: 0.0025941356690600513
Epoch 4/50, Train Loss: 0.014466677068008317, Test Loss: 0.0037380079831928013
Epoch 5/50, Train Loss: 0.01205075444978854, Test Loss: 0.0028137934301048517
Epoch 6/50, Train Loss: 0.008440234617049258, Test Loss: 0.001350045562721789
Epoch 7/50, Train Loss: 0.006181285916162389, Test Loss: 0.00029129116621334105
Epoch 8/50, Train Loss: 0.004429808119311929, Test Loss: 0.0002714864700101316
Epoch 9/50, Train Loss: 0.003094441072630977, Test Loss: 0.0001649811863899231
Epoch 10/50, Train Loss: 0.0022693891706506886, Test Loss: 5.1079254917567595e-05
Epoch 11/50, Train Loss: 0.0016131791570741269, Test Loss: 9.89568475051783e-05
Epoch 12/50, Train Loss: 0.0012215067769238163, Test Loss: 0.00010507328814128414
Epoch 13/50, Train Loss: 0.0008229390211728593, Test Loss: 2.9629467171616852e-05
Epoch 14/50, Train Loss: 0.0005872087725918622, Test Loss: 3.562960206181742e-05
Epoch 15/50, Train Loss: 0.0004324016742415667, Test Loss: 4.193919339741114e-05
Epoch 16/50, Train Loss: 0.00029850832398219536, Test Loss: 8.277611268567853e-06
Epoch 17/50, Train Loss: 0.00022847672285962968, Test Loss: 1.558496638608631e-05
Epoch 18/50, Train Loss: 0.0001560942377730657, Test Loss: 1.3692008651560173e-05
Epoch 19/50, Train Loss: 0.00011008541592413426, Test Loss: 4.975823057975503e-06
Epoch 20/50, Train Loss: 8.166079120230048e-05, Test Loss: 2.5148341364911175e-06
Epoch 21/50, Train Loss: 5.560801750222694e-05, Test Loss: 3.744958885363303e-06
Epoch 22/50, Train Loss: 3.440506225160789e-05, Test Loss: 1.8673449380912643e-06
Epoch 23/50, Train Loss: 2.6650008294382133e-05, Test Loss: 1.972482264136488e-06
Epoch 24/50, Train Loss: 1.8193766288551693e-05, Test Loss: 1.1407286478970492e-06
Epoch 25/50, Train Loss: 1.3302829915667803e-05, Test Loss: 7.712515673574672e-07
Epoch 26/50, Train Loss: 8.66090582233497e-06, Test Loss: 5.853375671449613e-07
Epoch 27/50, Train Loss: 6.113133384219725e-06, Test Loss: 4.0091606308578774e-07
Epoch 28/50, Train Loss: 4.106301737862403e-06, Test Loss: 3.052638254530393e-07
Epoch 29/50, Train Loss: 2.9142100766688283e-06, Test Loss: 3.454375860201253e-07
Epoch 30/50, Train Loss: 2.1136521599911492e-06, Test Loss: 1.7197644012867385e-07
Epoch 31/50, Train Loss: 1.2833235736873157e-06, Test Loss: 1.2976467758107902e-07
Epoch 32/50, Train Loss: 9.927018149865611e-07, Test Loss: 1.7124858402439714e-07
Epoch 33/50, Train Loss: 7.006579516929912e-07, Test Loss: 9.305397611569788e-08
Epoch 34/50, Train Loss: 4.857514020224179e-07, Test Loss: 1.123088904364522e-07
Epoch 35/50, Train Loss: 3.8736271271376146e-07, Test Loss: 3.296509220263033e-08
Epoch 36/50, Train Loss: 2.5626697975671023e-07, Test Loss: 2.8073383262494646e-08
Epoch 37/50, Train Loss: 2.1610405644156662e-07, Test Loss: 2.3939510214177062e-08
Epoch 38/50, Train Loss: 1.6327041712267081e-07, Test Loss: 2.0865657788249337e-08
Epoch 39/50, Train Loss: 1.4110154816694015e-07, Test Loss: 2.0002182452572014e-08
Epoch 40/50, Train Loss: 9.941652411357825e-08, Test Loss: 8.635235868581503e-09
Epoch 41/50, Train Loss: 7.905342000766622e-08, Test Loss: 1.8096322982330548e-08
Epoch 42/50, Train Loss: 6.330912237484564e-08, Test Loss: 1.0368689284945277e-08
Epoch 43/50, Train Loss: 5.085697357423041e-08, Test Loss: 1.8520720423964575e-08
Epoch 44/50, Train Loss: 4.429634792302295e-08, Test Loss: 3.7129947205727377e-09
Epoch 45/50, Train Loss: 3.10616795071646e-08, Test Loss: 2.351563068714313e-09
Epoch 46/50, Train Loss: 2.923747636941247e-08, Test Loss: 1.942300258406249e-09
Epoch 47/50, Train Loss: 2.5857494064789464e-08, Test Loss: 2.1696599450393707e-09
Epoch 48/50, Train Loss: 1.8239902181231098e-08, Test Loss: 1.6208228537095693e-09
Epoch 49/50, Train Loss: 2.0549715403754974e-08, Test Loss: 1.9815873830708595e-09
Epoch 50/50, Train Loss: 1.5081164430149953e-08, Test Loss: 9.099275288804165e-10
Model saved.
