Epoch 1/30, Train Loss: 0.08102552151849753, Test Loss: 0.015120106929492566
Epoch 2/30, Train Loss: 0.027127781234492984, Test Loss: 0.005125668831169605
Epoch 3/30, Train Loss: 0.01882969431249024, Test Loss: 0.0049573524870098595
Epoch 4/30, Train Loss: 0.010138486382327502, Test Loss: 0.00043264302686082137
Epoch 5/30, Train Loss: 0.0053308476072064116, Test Loss: 0.00039906810402059025
Epoch 6/30, Train Loss: 0.003187648196044508, Test Loss: 0.00021474034480390049
Epoch 7/30, Train Loss: 0.0019345567775359731, Test Loss: 0.00023685367083207013
Epoch 8/30, Train Loss: 0.0013000704915427804, Test Loss: 1.493431177697212e-05
Epoch 9/30, Train Loss: 0.000740982620841293, Test Loss: 1.2215003306987309e-05
Epoch 10/30, Train Loss: 0.00043257467317559954, Test Loss: 1.753022750915167e-05
Epoch 11/30, Train Loss: 0.0002735076887353288, Test Loss: 1.1525610071041757e-05
Epoch 12/30, Train Loss: 0.0001565995491684497, Test Loss: 4.393639866036885e-06
Epoch 13/30, Train Loss: 9.217333344962224e-05, Test Loss: 3.1780934785919887e-06
Epoch 14/30, Train Loss: 5.099599554882785e-05, Test Loss: 2.391126394462434e-06
Epoch 15/30, Train Loss: 3.051288807956219e-05, Test Loss: 2.403395278120555e-06
Epoch 16/30, Train Loss: 1.7121988105516927e-05, Test Loss: 2.042036526510797e-06
Epoch 17/30, Train Loss: 9.145604257977123e-06, Test Loss: 9.764382261598638e-07
Epoch 18/30, Train Loss: 4.941322668867231e-06, Test Loss: 4.2100268343904557e-07
Epoch 19/30, Train Loss: 2.731659785954262e-06, Test Loss: 3.605390718018586e-07
Epoch 20/30, Train Loss: 1.6686115233386761e-06, Test Loss: 2.3585281730498947e-07
Epoch 21/30, Train Loss: 9.127981984333986e-07, Test Loss: 1.4326718082847655e-07
Epoch 22/30, Train Loss: 5.199478503331929e-07, Test Loss: 7.484681124343561e-08
Epoch 23/30, Train Loss: 2.8207113453972163e-07, Test Loss: 6.222148771844477e-08
Epoch 24/30, Train Loss: 1.7148753949921364e-07, Test Loss: 3.595217110399157e-08
Epoch 25/30, Train Loss: 1.0370702907968873e-07, Test Loss: 1.890429063468358e-08
Epoch 26/30, Train Loss: 6.242600216782931e-08, Test Loss: 1.0478572174829167e-08
Epoch 27/30, Train Loss: 4.495885365262398e-08, Test Loss: 1.0578242783513162e-08
Epoch 28/30, Train Loss: 2.9484522289221874e-08, Test Loss: 4.803114207438666e-09
Epoch 29/30, Train Loss: 2.1945673638391208e-08, Test Loss: 3.6251593196846173e-09
Epoch 30/30, Train Loss: 2.0487825860591703e-08, Test Loss: 2.935802554465146e-09
Model saved.
